차량 구분,국가명,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연도
승용차,US,1048,633,627,245,0,0,2,0,0,4,0,5,2023
휴양용 차량,US,33056,29697,31985,29103,28763,26013,27234,22619,20969,24759,33951,30920,2023
상업용 차량,US,0,0,0,0,0,0,0,0,0,0,0,0,2023
특수 차량,US,0,0,0,0,0,0,0,0,0,0,0,0,2023
CKD(모듈형 조립 방식),US,0,0,0,0,0,0,0,0,0,0,0,0,2023
총합,US,34104,30330,32612,29348,28763,26013,27236,22619,20969,24763,33951,30925,2023
승용차,Canada,94,173,28,229,48,41,40,27,48,5,43,57,2023
휴양용 차량,Canada,5864,6644,5677,5587,5508,5018,5029,4164,4612,4547,6225,5272,2023
상업용 차량,Canada,0,0,0,0,0,0,0,0,0,0,0,0,2023
특수 차량,Canada,0,0,0,0,0,0,0,0,0,0,0,0,2023
CKD(모듈형 조립 방식),Canada,0,0,0,0,0,0,0,0,0,0,0,0,2023
총합,Canada,5958,6817,5705,5816,5556,5059,5069,4191,4660,4552,6268,5329,2023
승용차,Mexico,86,139,66,139,81,67,81,39,14,15,59,54,2023
휴양용 차량,Mexico,562,2352,2054,1903,1784,1552,1168,550,653,652,135,641,2023
상업용 차량,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,2023
특수 차량,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,2023
CKD(모듈형 조립 방식),Mexico,0,0,0,0,0,0,0,0,0,0,0,0,2023
총합,Mexico,648,2491,2120,2042,1865,1619,1249,589,667,667,194,695,2023
승용차,EU+EFTA,10216,12757,12724,10645,10709,6177,4059,2198,2440,3359,4704,4046,2023
휴양용 차량,EU+EFTA,16877,17006,20839,19225,20680,17405,19509,16418,16273,13995,21299,18794,2023
상업용 차량,EU+EFTA,0,0,0,0,0,0,0,0,0,0,0,0,2023
특수 차량,EU+EFTA,0,0,0,0,0,0,0,0,0,0,0,0,2023
CKD(모듈형 조립 방식),EU+EFTA,0,0,0,0,0,0,0,0,0,0,0,0,2023
총합,EU+EFTA,27093,29763,33563,29870,31389,23582,23568,18616,18713,17354,26003,22840,2023
승용차,E.Europe/CIS,1224,1207,1390,1500,1218,895,1381,1466,829,1603,1268,439,2023
휴양용 차량,E.Europe/CIS,2032,2222,2950,3320,3331,2935,2386,2398,2901,3055,4002,2596,2023
상업용 차량,E.Europe/CIS,158,117,157,259,226,149,469,214,566,537,77,300,2023
특수 차량,E.Europe/CIS,60,0,0,30,90,228,186,180,180,186,90,70,2023
CKD(모듈형 조립 방식),E.Europe/CIS,840,1320,880,1040,1120,800,840,1200,1000,840,480,640,2023
총합,E.Europe/CIS,4314,4866,5377,6149,5985,5007,5262,5458,5476,6221,5917,4045,2023
승용차,Latin America,1688,1859,2189,2016,2381,2272,2142,1898,2184,1688,1602,1539,2023
휴양용 차량,Latin America,1248,1298,2120,1859,1960,2156,2236,1660,1943,2162,3429,2743,2023
상업용 차량,Latin America,764,1048,995,874,1111,1193,1128,554,1377,1058,1259,1022,2023
특수 차량,Latin America,50,0,21,0,0,1,0,0,0,0,13,2,2023
CKD(모듈형 조립 방식),Latin America,360,420,540,540,420,660,780,720,600,720,480,720,2023
총합,Latin America,4110,4625,5865,5289,5872,6282,6286,4832,6104,5628,6783,6026,2023
승용차,Middle East/Africa,4640,5516,6630,4975,4351,3659,2916,3204,2570,3037,3045,2769,2023
휴양용 차량,Middle East/Africa,3959,3563,3317,3817,4512,3752,2486,3449,1391,2298,2543,1811,2023
상업용 차량,Middle East/Africa,1733,1521,1553,1458,1137,940,2071,1327,1589,1342,1674,1884,2023
특수 차량,Middle East/Africa,1,4,5,100,110,50,0,0,4,0,52,4,2023
CKD(모듈형 조립 방식),Middle East/Africa,0,120,120,80,200,440,930,1040,1120,971,441,920,2023
총합,Middle East/Africa,10333,10724,11625,10430,10310,8841,8403,9020,6674,7648,7755,7388,2023
승용차,Asia / Pacific,2206,1781,2515,1869,2042,2144,1290,1424,1607,1504,1627,1724,2023
휴양용 차량,Asia / Pacific,6120,5117,7258,6037,6697,8711,7468,7819,6327,6287,7771,8213,2023
상업용 차량,Asia / Pacific,359,448,298,328,301,353,319,342,104,73,87,79,2023
특수 차량,Asia / Pacific,30,32,10,5,17,28,6,0,29,0,2,35,2023
CKD(모듈형 조립 방식),Asia / Pacific,3384,4184,3464,2536,2072,2456,1920,2760,2884,3324,2348,4136,2023
총합,Asia / Pacific,12099,11562,13545,10775,11129,13692,11003,12345,10951,11188,11835,14187,2023
승용차,China,0,0,0,0,0,0,0,0,0,0,0,0,2023
휴양용 차량,China,0,0,0,0,0,129,96,63,1,0,6,0,2023
상업용 차량,China,0,0,0,0,0,0,0,0,0,0,0,0,2023
특수 차량,China,0,0,0,0,0,0,0,0,0,0,0,0,2023
CKD(모듈형 조립 방식),China,0,0,0,0,0,0,0,0,0,0,0,0,2023
총합,China,0,0,0,0,0,129,96,63,1,0,6,0,2023
승용차,India,0,0,0,0,0,0,0,0,0,0,0,0,2023
휴양용 차량,India,0,152,298,199,199,102,0,0,0,0,0,0,2023
상업용 차량,India,0,0,0,0,0,0,0,0,0,0,0,0,2023
특수 차량,India,0,0,0,0,0,0,0,0,0,0,0,0,2023
CKD(모듈형 조립 방식),India,0,0,0,0,0,0,0,0,0,0,0,0,2023
총합,India,0,152,298,199,199,102,0,0,0,0,0,0,2023
승용차,US,0,0,3342,6359,8136,7818,8203,7420,6946,5154,1140,6458,2024
휴양용 차량,US,34743,28607,30867,35909,28968,27885,26926,25099,21101,24986,13917,17383,2024
상업용 차량,US,0,0,0,0,0,0,0,0,0,0,0,0,2024
특수 차량,US,0,0,0,0,0,0,0,0,0,0,0,0,2024
CKD(특수 차량 제외),US,0,0,0,0,0,0,0,0,0,0,0,0,2024
CKD(특수 차량),US,0,0,0,0,0,0,0,0,0,0,0,0,2024
총합,US,34743,28607,34209,42268,37104,35703,35129,32519,28047,30140,15057,23841,2024
승용차,Canada,48,36,30,0,82,48,39,0,0,0,0,0,2024
휴양용 차량,Canada,5192,3698,4013,5821,6095,5465,6515,4505,3429,4400,4112,6702,2024
상업용 차량,Canada,0,0,0,0,0,0,0,0,0,0,0,0,2024
특수 차량,Canada,0,0,0,0,0,0,0,0,0,0,0,0,2024
CKD(특수 차량 제외),Canada,0,0,0,0,0,0,0,0,0,0,0,0,2024
CKD(특수 차량),Canada,0,0,0,0,0,0,0,0,0,0,0,0,2024
총합,Canada,5240,3734,4043,5821,6177,5513,6554,4505,3429,4400,4112,6702,2024
승용차,Mexico,1,0,0,0,0,0,0,0,0,0,0,0,2024
휴양용 차량,Mexico,969,647,812,637,806,211,620,389,505,490,501,1016,2024
상업용 차량,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,2024
특수 차량,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,2024
CKD(특수 차량 제외),Mexico,0,0,0,0,0,0,0,0,0,0,0,0,2024
CKD(특수 차량),Mexico,0,0,0,0,0,0,0,0,0,0,0,0,2024
총합,Mexico,970,647,812,637,806,211,620,389,505,490,501,1016,2024
승용차,EU+EFTA,7790,6255,6223,4885,7154,6600,6277,4837,5139,7238,5108,2660,2024
휴양용 차량,EU+EFTA,18950,13854,17293,14746,14543,14391,12634,12535,16699,19915,19829,16206,2024
상업용 차량,EU+EFTA,0,0,0,0,0,0,0,0,0,0,0,0,2024
특수 차량,EU+EFTA,0,3,0,0,14,0,1,0,0,0,0,10,2024
CKD(특수 차량 제외),EU+EFTA,0,0,0,0,0,0,0,0,0,0,0,0,2024
CKD(특수 차량),EU+EFTA,0,0,0,0,0,0,0,0,0,0,0,0,2024
총합,EU+EFTA,26740,20112,23516,19631,21711,20991,18912,17372,21838,27153,24937,18876,2024
승용차,E.Europe/CIS,1151,434,615,295,476,391,219,102,254,112,144,63,2024
휴양용 차량,E.Europe/CIS,2662,2822,3194,2880,3337,2499,639,474,895,1728,1318,3093,2024
상업용 차량,E.Europe/CIS,1178,861,1197,403,90,56,10,0,5,3,114,46,2024
특수 차량,E.Europe/CIS,10,0,25,0,0,0,0,100,100,0,20,0,2024
CKD(특수 차량 제외),E.Europe/CIS,1420,1420,780,1340,2160,1800,2760,2620,2380,2980,2520,2280,2024
CKD(특수 차량),E.Europe/CIS,0,0,0,0,0,2,2,0,0,0,2,0,2024
총합,E.Europe/CIS,6421,5537,5811,4918,6063,4748,3630,3296,3634,4823,4118,5482,2024
승용차,Latin America,574,753,1135,1717,1304,1285,1590,1518,1111,1925,2058,2943,2024
휴양용 차량,Latin America,2385,1665,1950,2274,2391,2560,2222,2495,1532,1952,2876,5013,2024
상업용 차량,Latin America,1144,735,1336,915,1255,1038,1125,1129,957,940,1019,1044,2024
특수 차량,Latin America,1,1,0,0,0,0,2,4,0,0,0,0,2024
CKD(특수 차량 제외),Latin America,480,300,240,300,480,300,420,660,540,720,240,720,2024
CKD(특수 차량),Latin America,0,0,0,0,0,0,0,0,0,0,0,0,2024
총합,Latin America,4584,3454,4661,5206,5430,5183,5359,5806,4140,5537,6193,9720,2024
승용차,Middle East/Africa,1814,2347,2017,4217,3662,3318,3099,2071,1219,1918,2981,4674,2024
휴양용 차량,Middle East/Africa,3411,2915,4083,2447,2775,2967,3530,2563,3585,4464,3039,7596,2024
상업용 차량,Middle East/Africa,1790,1285,1531,1342,1382,1726,1669,1440,1496,2023,1836,1577,2024
특수 차량,Middle East/Africa,0,46,3,52,0,50,51,2,14,2,57,59,2024
CKD(특수 차량 제외),Middle East/Africa,760,680,1720,120,80,40,160,80,400,120,120,360,2024
CKD(특수 차량),Middle East/Africa,72,105,75,55,132,0,132,72,133,84,0,74,2024
총합,Middle East/Africa,7847,7378,9429,8233,8031,8101,8641,6228,6847,8611,8033,14340,2024
승용차,Asia / Pacific,2231,1998,2237,3249,2887,2459,1951,2029,485,944,1025,722,2024
휴양용 차량,Asia / Pacific,7217,7298,5763,6850,6142,7721,7551,7131,5364,5734,6158,9655,2024
상업용 차량,Asia / Pacific,379,366,381,260,191,247,253,328,249,146,144,297,2024
특수 차량,Asia / Pacific,0,4,20,24,3,5,1,11,5,12,1,103,2024
CKD(특수 차량 제외),Asia / Pacific,2260,3200,3000,3040,3340,2940,3220,3060,3820,5040,4640,3760,2024
CKD(특수 차량),Asia / Pacific,48,24,72,48,24,36,60,72,48,48,50,36,2024
총합,Asia / Pacific,12135,12890,11473,13471,12587,13408,13036,12631,9971,11924,12018,14573,2024
승용차,India,0,0,0,0,0,0,0,0,0,0,0,0,2024
휴양용 차량,India,0,2,0,3,0,0,0,3,0,0,0,0,2024
상업용 차량,India,0,0,0,0,0,0,0,0,0,0,0,0,2024
특수 차량,India,0,0,0,0,0,0,0,0,0,0,0,0,2024
CKD(특수 차량 제외),India,0,0,0,0,0,0,0,0,0,0,0,0,2024
CKD(특수 차량),India,0,0,0,0,0,0,0,0,0,0,0,0,2024
총합,India,0,2,0,3,0,0,0,3,0,0,0,0,2024
승용차,China,0,0,0,0,0,0,0,0,0,0,0,0,2024
휴양용 차량,China,0,0,0,0,1,0,0,0,0,0,0,0,2024
상업용 차량,China,0,0,0,0,0,0,0,0,0,0,0,0,2024
특수 차량,China,0,0,0,0,0,0,0,0,0,0,0,0,2024
CKD(특수 차량 제외),China,0,0,0,0,0,0,0,0,0,0,0,0,2024
CKD(특수 차량),China,0,0,0,0,0,0,0,0,0,0,0,0,2024
총합,China,0,0,0,0,1,0,0,0,0,0,0,0,2024
승용차,US,4518,0,0,0,0,0,0,0,0,0,0,0,2025
휴양용 차량,US,23997,0,0,0,0,0,0,0,0,0,0,0,2025
상업용 차량,US,0,0,0,0,0,0,0,0,0,0,0,0,2025
특수 차량,US,0,0,0,0,0,0,0,0,0,0,0,0,2025
CKD(특수 차량 제외),US,0,0,0,0,0,0,0,0,0,0,0,0,2025
CKD(특수 차량),US,0,0,0,0,0,0,0,0,0,0,0,0,2025
승용차,Canada,0,0,0,0,0,0,0,0,0,0,0,0,2025
휴양용 차량,Canada,5180,0,0,0,0,0,0,0,0,0,0,0,2025
상업용 차량,Canada,0,0,0,0,0,0,0,0,0,0,0,0,2025
특수 차량,Canada,0,0,0,0,0,0,0,0,0,0,0,0,2025
CKD(특수 차량 제외),Canada,0,0,0,0,0,0,0,0,0,0,0,0,2025
CKD(특수 차량),Canada,0,0,0,0,0,0,0,0,0,0,0,0,2025
승용차,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,2025
휴양용 차량,Mexico,502,0,0,0,0,0,0,0,0,0,0,0,2025
상업용 차량,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,2025
특수 차량,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,2025
CKD(특수 차량 제외),Mexico,0,0,0,0,0,0,0,0,0,0,0,0,2025
CKD(특수 차량),Mexico,0,0,0,0,0,0,0,0,0,0,0,0,2025
승용차,EU+EFTA,4542,0,0,0,0,0,0,0,0,0,0,0,2025
휴양용 차량,EU+EFTA,16934,0,0,0,0,0,0,0,0,0,0,0,2025
상업용 차량,EU+EFTA,0,0,0,0,0,0,0,0,0,0,0,0,2025
특수 차량,EU+EFTA,0,0,0,0,0,0,0,0,0,0,0,0,2025
CKD(특수 차량 제외),EU+EFTA,0,0,0,0,0,0,0,0,0,0,0,0,2025
CKD(특수 차량),EU+EFTA,0,0,0,0,0,0,0,0,0,0,0,0,2025
승용차,E.Europe/CIS,82,0,0,0,0,0,0,0,0,0,0,0,2025
휴양용 차량,E.Europe/CIS,2321,0,0,0,0,0,0,0,0,0,0,0,2025
상업용 차량,E.Europe/CIS,0,0,0,0,0,0,0,0,0,0,0,0,2025
특수 차량,E.Europe/CIS,0,0,0,0,0,0,0,0,0,0,0,0,2025
CKD(특수 차량 제외),E.Europe/CIS,2320,0,0,0,0,0,0,0,0,0,0,0,2025
CKD(특수 차량),E.Europe/CIS,0,0,0,0,0,0,0,0,0,0,0,0,2025
승용차,Latin America,1389,0,0,0,0,0,0,0,0,0,0,0,2025
휴양용 차량,Latin America,1316,0,0,0,0,0,0,0,0,0,0,0,2025
상업용 차량,Latin America,726,0,0,0,0,0,0,0,0,0,0,0,2025
특수 차량,Latin America,14,0,0,0,0,0,0,0,0,0,0,0,2025
CKD(특수 차량 제외),Latin America,600,0,0,0,0,0,0,0,0,0,0,0,2025
CKD(특수 차량),Latin America,0,0,0,0,0,0,0,0,0,0,0,0,2025
승용차,Middle East/Africa,2475,0,0,0,0,0,0,0,0,0,0,0,2025
휴양용 차량,Middle East/Africa,3466,0,0,0,0,0,0,0,0,0,0,0,2025
상업용 차량,Middle East/Africa,1809,0,0,0,0,0,0,0,0,0,0,0,2025
특수 차량,Middle East/Africa,0,0,0,0,0,0,0,0,0,0,0,0,2025
CKD(특수 차량 제외),Middle East/Africa,680,0,0,0,0,0,0,0,0,0,0,0,2025
CKD(특수 차량),Middle East/Africa,101,0,0,0,0,0,0,0,0,0,0,0,2025
승용차,Asia / Pacific,409,0,0,0,0,0,0,0,0,0,0,0,2025
휴양용 차량,Asia / Pacific,7119,0,0,0,0,0,0,0,0,0,0,0,2025
상업용 차량,Asia / Pacific,225,0,0,0,0,0,0,0,0,0,0,0,2025
특수 차량,Asia / Pacific,3,0,0,0,0,0,0,0,0,0,0,0,2025
CKD(특수 차량 제외),Asia / Pacific,3040,0,0,0,0,0,0,0,0,0,0,0,2025
CKD(특수 차량),Asia / Pacific,60,0,0,0,0,0,0,0,0,0,0,0,2025
승용차,India,0,0,0,0,0,0,0,0,0,0,0,0,2025
휴양용 차량,India,0,0,0,0,0,0,0,0,0,0,0,0,2025
상업용 차량,India,0,0,0,0,0,0,0,0,0,0,0,0,2025
특수 차량,India,0,0,0,0,0,0,0,0,0,0,0,0,2025
CKD(특수 차량 제외),India,0,0,0,0,0,0,0,0,0,0,0,0,2025
CKD(특수 차량),India,0,0,0,0,0,0,0,0,0,0,0,0,2025
승용차,China,0,0,0,0,0,0,0,0,0,0,0,0,2025
휴양용 차량,China,0,0,0,0,0,0,0,0,0,0,0,0,2025
상업용 차량,China,0,0,0,0,0,0,0,0,0,0,0,0,2025
특수 차량,China,0,0,0,0,0,0,0,0,0,0,0,0,2025
CKD(특수 차량 제외),China,0,0,0,0,0,0,0,0,0,0,0,0,2025
CKD(특수 차량),China,0,0,0,0,0,0,0,0,0,0,0,0,2025
