차량 모델,총생산량,총판매량
Accent (BN7v),10325,9525.0
Accent (HCv),18784,3210.0
BHMC,44638,44638.0
Bayon (BC3 CUV),126276,55658.0
CV,1297,475.0
Creta (GSb),21905,9003.0
Creta (SU2b),122728,64376.0
Creta (SU2id),106234,50670.0
Creta (SU2v),13605,7749.0
Elantra (CN7v),3850,1573.0
Exter (AI3 SUV),137449,84368.0
GV70 (JKa),34210,21483.0
GV70 EV (Jka EV),5551,2659.0
HB20 (BR2),285642,140751.0
HTBC,4241,2203.0
IONIQ5 (NE),10701,2869.0
IONIQ5 (NEi),1228,527.0
IONIQ5 (NEid N),81,71.0
IONIQ5 (NEv),120,60.0
IONIQ6 (CE),93,37.0
Ioniq5 (NEa),2629,1006.0
Kusto (KUv),4414,2426.0
Mighty (LTv),3286,1985.0
Mighty (QTc),270,150.0
Mighty (QTv),450,301.0
Mighty (VTv),3700,1901.0
NX4m,18490,16490.0
PV,113222,60092.0
Palisade (LX2v),2426,1699.0
Porter (HRv),6213,2758.0
Santa Fe (MX5v),3417,2685.0
Santa Fe (TMv),8423,3727.0
Santa Fe HEV (TMv HEV),283,180.0
Santa-Fe (MX5a HEV),38813,36488.0
Santa-Fe (MX5a),119250,112401.0
Santa-Fe (MX5id HEV),584,463.0
Santa-Fe (MX5id),92,19.0
Santa-Fe (TMa),121628,2172.0
Santa-Fe (TMid),1451,587.0
Santa-Fe HEV (TMa HEV),21585,764.0
Stargazer (KS),52713,29458.0
Truck,5007,2614.0
Tucson (NX4a),308830,148147.0
Tucson (NX4v),11649,5932.0
Tucson OB (NX4a OB),83371,35953.0
Venue (QXv),3463,3164.0
i10 (AC3),159053,82362.0
i10(AI3v 4DR),1833,632.0
i10(AI3v 5DR),10623,4618.0
i20 (BC3),214170,103033.0
i20 N (BC3 N),13205,4607.0
