기준일,판매량
2023-01-01,133714.0
2023-02-01,162985.0
2023-03-01,174595.0
2023-04-01,167263.0
2023-05-01,173431.0
2023-06-01,174111.0
2023-07-01,152954.0
2023-08-01,145405.0
2023-09-01,136524.0
2023-10-01,169595.0
2023-11-01,172007.0
2023-12-01,165235.0
2024-01-01,190481.0
2024-02-01,176774.0
2024-03-01,199209.0
2024-04-01,187847.0
2024-05-01,197228.0
2024-06-01,193009.0
2024-07-01,180273.0
2024-08-01,187208.0
2024-09-01,198938.0
2024-10-01,213229.0
2024-11-01,199338.0
2024-12-01,179606.0
2025-01-01,130437.0
